Date;Bookmaker;Tipster;Sport;Type;Intitule du pari;Cote;Mise;Gain;Benefice;Etat
9/1/2018;Bet365;BetVolley;Volleyball;Simple;chili + usa;2.5;330;825;495;Gagne
9/1/2018;MarathonBet;Jorge_Javier;Tennis;Simple;kanepi + pliskiva;1.95;200;390;190;Gagne
9/1/2018;Bet365;Cheser;Football;Simple;Bermuda W -1.75 HT;2;240;360;120;Moitie gagne
9/1/2018;Asianodds;Seifer;Football;Simple;Shelbourne -1;2.11;250;-250;-250;Perdu
9/1/2018;188Bet;Time Bomb;Football;Simple;Derry +1;1.9;750;-750;-750;Perdu
9/1/2018;Asianodds;Seifer;Football;Simple;Lechia 0;1.73;250;432.5;182.5;Gagne
9/1/2018;Betway;Marcip;Football;Simple;3-1 : Correct Score : Trans Narva;5;100;-100;-100;Perdu
9/1/2018;Betway;24tomas;Handball;Simple;Under 58.5/59.5 : Bregenz;1.9;168;319.2;151.2;Gagne
9/1/2018;MarathonBet;Autre Tipster;Rugby;Simple;Over 41.5 : Bristol Bears + Aurillac;2.16;294;-294;-294;Perdu
9/1/2018;Pinnacle;Pe2ro;Football;Simple;Under 5 cartons : Milan (20h30);1.641;200;328.2;128.2;Gagne
9/1/2018;Pinnacle;Pe2ro;Football;Simple;Over 5 cartons : Getafe;1.714;200;-200;-200;Perdu
9/1/2018;Pinnacle;Pe2ro;Football;Simple;Over 4.5 cartons : Villarreal;1.671;200;334.2;134.2;Gagne
9/1/2018;Asianodds;Garfield;Football;Simple;Trans -1.75;1.91;250;-250;-250;Perdu
9/1/2018;Asianodds;Womens Footie;Football;Simple;Under 3.5 : Romania W;1.69;200;338;138;Gagne
9/1/2018;Pinnacle;Rugby Tipster 15;Rugby;Simple;Zebre -17;1.854;300;-300;-300;Perdu
8/31/2018;Betway;NINIBET;Basketball;Simple;Zlin -19.5;1.79;300;-300;-300;Perdu
8/31/2018;Betway;Xargos;Basketball;Simple;Under 210.5 : Zielona Gora;1.89;300;567;267;Gagne
8/31/2018;MarathonBet;Awer;Football;Simple;Uhelne Sklady 0;2.28;300;684;384;Gagne
8/31/2018;Bet365;Anonim31;Basketball;Simple;Levski Lukoil +7;1.83;200;366;166;Gagne
8/31/2018;Betway;Xargos;Basketball;Simple;BK Lions Jindrichuv Hradec vs Usti Nad Labem Over 136.5;1.85;90;166.5;76.5;Gagne
8/31/2018;Asianodds;Catced Bk;Football;Simple;Norrkoping -1;1.79;200;-200;-200;Perdu
8/31/2018;Asianodds;Brucinger;Football;Simple;Al Sailiya - Al Khor SC First Half Over 2.5;1.88;300;-300;-300;Perdu
8/31/2018;Asianodds;IV0815;Football;Simple;Viktoria Berlin -0.25;1.869;250;467.25;217.25;Gagne
8/31/2018;MarathonBet;Dedi;Football;Simple;hapoel bnei fureidis 0.25;2.14;136;-136;-136;Perdu
8/31/2018;Betway;Marcip;Football;Simple;shimshon tel aviv -0.25;1.8;315;567;252;Gagne
8/31/2018;Asianodds;Marcip;Football;Simple;lechia gdansk -0.25;2.14;300;642;342;Gagne
8/31/2018;MarathonBet;Dedi;Football;Simple;ironi or yehuda -1.5;2.24;300;672;372;Gagne
8/31/2018;MarathonBet;Dedi;Football;Simple;ironi or yehuda HT;2.03;250;-250;-250;Perdu
8/31/2018;MarathonBet;Dedi;Football;Simple;hapoel bnei fureidis -1.5;3.5;36.5;-36.5;-36.5;Perdu
8/31/2018;Betway;Dedi;Football;Simple;hapoel bnei fureidis -1.5;2.65;78;-78;-78;Perdu
8/31/2018;Betway;Dedi;Football;Simple;hapoel bnei fureidis ht /ft;2.3;208;-208;-208;Perdu
8/31/2018;Pinnacle;Rugby Tipster 15;Rugby;Simple;edinbourg + 5.5;1.892;300;567.6;267.6;Gagne
8/31/2018;Pinnacle;Rusp;Football;Simple;rubin kazan 0.25;2;400;600;200;Moitie gagne
8/31/2018;Bet365;Jorge_Javier;Tennis;Simple;Ekaterina Makarova - Anastasija Sevastova FT Over 21.5;1.9;200;380;180;Gagne
8/31/2018;Asianodds;Womens Footie;Football;Simple;denmark u 19 w -2;1.85;200;370;170;Gagne
8/31/2018;Bet365;Hockey Betting;Hockey sur glace;Simple;eisbaren berlin 0;1.85;250;-250;-250;Perdu
8/31/2018;Pinnacle;Hockey Betting;Hockey sur glace;Simple;Neman Grodno - HC Kometa Brno over 5;1.93;250;482.5;232.5;Gagne
8/31/2018;Bet365;Autre Tipster;Rugby;Simple;Melbourne Storm - Penrith Panthers over 32.5;1.5;400;600;200;Gagne
8/31/2018;Bet365;Anonim31;Basketball;Simple;Baltur Cento +5.5;1.83;150;274.5;124.5;Gagne
8/31/2018;MarathonBet;Brucinger;Football;Simple;KCB;2.03;300;609;309;Gagne
8/31/2018;Bet365;Anonim31;Basketball;Simple;Fortitudo Bologna -4;1.83;150;274.5;124.5;Gagne
8/31/2018;Pinnacle;Hockey Betting;Hockey sur glace;Simple;toros under 5;1.75;150;-150;-150;Perdu
8/31/2018;Bet365;Double Win;Tennis;Simple;harrison/harrison;2.62;300;786;486;Gagne
8/31/2018;Bet365;Mr Henryk;Volleyball;Simple;lusson/monguet;1.72;300;516;216;Gagne
8/31/2018;Bet365;Rugby Tipster 15;Rugby;Simple;wellington -southland under 66.5;1.89;300;567;267;Gagne
8/31/2018;Bet365;Nowi;Tennis;Simple;ruusuvuori;1.61;300;483;183;Gagne
8/31/2018;Bet365;Nowi;Tennis;Simple;batalla;2;200;-200;-200;Perdu
8/31/2018;Pinnacle;ThePlayer34;Volleyball;Simple;kyrgystan -1.5;1.636;320;0;0;Rembourse
8/31/2018;Asianodds;TheBasketWizard;Basketball;Simple;Philippines -19.5;1.806;250;451.5;201.5;Gagne
8/31/2018;Bet365;Opsimos;Volleyball;Simple;china w -2.5;1.82;300;546;246;Gagne
8/31/2018;PMU;Opsimos;Volleyball;Simple;usa-argentine under 3.5 set;2.25;200;450;250;Gagne
8/31/2018;Asianodds;TheBasketWizard;Basketball;Simple;japan -10.5;1.87;250;467.5;217.5;Gagne
8/31/2018;Bet365;BetVolley;Volleyball;Simple;chile+ over 179.5 mexico-cuba;1.976;330;652.08;322.08;Gagne
8/31/2018;Bet365;Mr Henryk;Volleyball;Simple;FIU W gagne facile la rencontre;2;435;870;435;Gagne
8/31/2018;Bet365;Mr Henryk;Volleyball;Simple;FIU W to win set 1 25-15 or better;4.33;200;866;666;Gagne
8/31/2018;Bet365;Mr Henryk;Volleyball;Simple;FIU W to win set 1 by 12 or more;7;100;700;600;Gagne
8/31/2018;188Bet;Mr Betting;Football;Simple;Vasco de Gama U20 +0.25;1.84;300;-300;-300;Perdu
8/31/2018;MarathonBet;Blink18222;Football;Simple;Prisonniers du Trinidad;1.86;115;213.9;98.9;Gagne
8/31/2018;Betway;Cheser;Football;Simple;Over 5.5 : Vesturbaer;1.86;300;558;258;Gagne
8/31/2018;188Bet;Garfield;Football;Simple;Over 9 corners : Celtic;2.06;150;-150;-150;Perdu
8/31/2018;Asianodds;Garfield;Football;Simple;Celtic -1.5;1.8;150;270;120;Gagne
8/31/2018;Asianodds;Womens Footie;Football;Simple;swiss w 0.75;1.77;200;-100;-100;Moitie perdu
8/31/2018;Asianodds;Womens Footie;Football;Simple;denmark W 0.25;1.87;200;287;87;Moitie gagne
8/31/2018;Bet365;Autre Tipster;Rugby;Simple;brive 9.5;1.5;400;600;200;Gagne
8/31/2018;MarathonBet;Brucinger;Football;Simple;viikingit;2;300;600;300;Gagne
8/31/2018;Betway;Dedi;Football;Simple;hapoel acre -1;1.66;315;522.9;207.9;Gagne
8/31/2018;Bet365;Hockey Betting;Hockey sur glace;Simple;ZCS lions- Aalborg pirates over 5.5;1.85;250;462.5;212.5;Gagne
8/31/2018;MarathonBet;NINIBET;Football;Simple;portugal w goal 5;1.75;250;437.5;187.5;Gagne
8/31/2018;Bet365;ThePlayer34;Football;Simple;Dominican Republic U21;1.83;320;585.6;265.6;Gagne
8/31/2018;Betway;Atlantic Puffin;Football;Simple;baerum u19 +1;1.77;315;557.55;242.55;Gagne
8/31/2018;Bet365;Atlantic Puffin;Football;Simple;skeid u 19 -0.25;1.825;300;547.5;247.5;Gagne
8/31/2018;Betway;Atlantic Puffin;Football;Simple;valerenga u 19 or X;1.89;315;595.35;280.35;Gagne
8/30/2018;188Bet;Garfield;Football;Simple;portugal w over 10 corners;2.04;250;510;260;Gagne
8/30/2018;Betway;Estonian Sport;Football;Simple;vaprus or X;2.4;250;600;350;Gagne
8/30/2018;Bet365;ThePlayer34;Volleyball;Simple;Rwanda U20 W -1.5 sets;2.1;240;504;264;Gagne
