Date;Bookmaker;Tipster;Sport;Type;Intitule du pari;Cote;Mise;Gain;Benefice;Etat
01/05/2018;188Bet;Autre Tipster;Football;Simple;Over 2.25 : All Boys;1.79;300;537;237;Gagne
01/05/2018;Asianodds;Cheser;Football;Simple;Over 1.5 : Dundalk;1.943;180;349.74;169.74;Gagne
01/05/2018;Asianodds;Autre Tipster;Football;Simple;Over 0.5 HT : Talleres;2.38;60;-60;-60;Perdu
01/05/2018;Asianodds;Autre Tipster;Football;Simple;Over 2.5 : Moron;2.26;300;-300;-300;Perdu
01/05/2018;Asianodds;Autre Tipster;Football;Simple;Over 0.5 : Lens;2.11;300;-300;-300;Perdu
01/05/2018;Asianodds;Autre Tipster;Football;Simple;Nurnberg;1.79;300;537;237;Gagne
01/05/2018;Asianodds;Autre Tipster;Football;Simple;Over 4.25 : Hobro;1.9;300;570;270;Gagne
30/04/2018;188Bet;Autre Tipster;Football;Simple;Fishsan Khanh Hoa - Binh Thuan First Half Over 1.5 ht;2.56;120;307.2;187.2;Gagne
30/04/2018;188Bet;Autre Tipster;Football;Simple;Sport Rosario;1.8;300;540;240;Gagne
30/04/2018;Asianodds;Antoine Basket Cuts;Basketball;Simple;Amici Pallacanestro Udinese -VS- Derthona Basket UNDER 150.5;1.89;116;-116;-116;Perdu
30/04/2018;Asianodds;Antoine Basket Cuts;Basketball;Simple;Amici Pallacanestro Udinese -VS- Derthona Basket UNDER 151;1.83;84;-84;-84;Perdu
30/04/2018;Asianodds;Antoine Basket Cuts;Basketball;Simple;Atenas -VS- Weber Bahia Estudiantes OVER 163;1.884;200;376.8;176.8;Gagne
30/04/2018;Asianodds;Cheser;Football;Simple;Suchitepequez -0.25;1.78;90;160.2;70.2;Gagne
30/04/2018;Asianodds;Rusp;Football;Simple;dinamo moscow 0;2;300;0;0;Rembourse
30/04/2018;Asianodds;The Turing Bombe;Football;Simple;Dinamo Moscow - FK Rubin Kazan X;3.05;250;762.5;512.5;Gagne
30/04/2018;Asianodds;Zorro;Football;Simple;Varnamo U21 0;2.42;70;0;0;Rembourse
30/04/2018;Asianodds;Autre Tipster;Football;Simple;Orebro SK - Dalkurd FF First Half Over 0.5;1.75;270;-270;-270;Perdu
30/04/2018;Asianodds;Autre Tipster;Football;Simple;Lokomotiv Sofia -VS- Lokomotiv Gorna Oryahovitsa OVER 2.75;1.94;150;220.5;70.5;Moitie gagne
30/04/2018;Asianodds;Autre Tipster;Football;Simple;Nasaf Qarshi v Sogdiana Jizzakh Over 1;1.93;60;0;0;Rembourse
30/04/2018;Asianodds;Autre Tipster;Football;Simple;Ostersunds FK -1.5;1.943;300;582.9;282.9;Gagne
30/04/2018;Asianodds;Autre Tipster;Football;Simple;FK Liepaja / Mogo -VS- FK Jelgava OVER 2.5;1.96;270;529.2;259.2;Gagne
30/04/2018;Asianodds;Autre Tipster;Football;Simple;astra giurgiu;1.83;352;644.16;292.16;Gagne
30/04/2018;Asianodds;Autre Tipster;Football;Simple;Libertad Asuncion -VS- Deportivo Santani OVER 1.5;2.35;150;352.5;202.5;Gagne
30/04/2018;Asianodds;Autre Tipster;Football;Simple;Libertad Asuncion -VS- Deportivo Santani OVER 0.5;1.71;270;461.7;191.7;Gagne
30/04/2018;Asianodds;Autre Tipster;Football;Simple;Sport Rosario -0.25 HT;1.961;270;-135;-135;Moitie perdu
30/04/2018;Asianodds;Autre Tipster;Football;Simple;Over 2.5 : Olimpia Asuncion;2.17;210;455.7;245.7;Gagne
30/04/2018;Asianodds;Autre Tipster;Football;Simple;Over 4.25 : Univ. Deportes;2.03;300;609;309;Gagne
30/04/2018;Asianodds;Autre Tipster;Football;Simple;Atl Paranaense [0.25];1.943;150;220.73;70.73;Moitie gagne
30/04/2018;Asianodds;Autre Tipster;Football;Simple;Under 2 : Parana;2.2;240;-240;-240;Perdu
30/04/2018;Asianodds;Autre Tipster;Football;Simple;Over 2.25 : Bahia;1.961;160;-160;-160;Perdu
30/04/2018;Asianodds;Autre Tipster;Football;Simple;Atletico PR ou Nul;1.909;320;610.88;290.88;Gagne
30/04/2018;Asianodds;Autre Tipster;Football;Simple;Over 2.25 : Corinthians;2.03;320;-320;-320;Perdu
30/04/2018;Asianodds;Autre Tipster;Football;Simple;Over 2.5 : Palmeiras;1.909;160;-160;-160;Perdu
30/04/2018;Asianodds;Autre Tipster;Football;Simple;Internacional RS -0.25;1.9;150;-75;-75;Moitie perdu
