Date;Bookmaker;Tipster;Sport;Type;Intitule du pari;Cote;Mise;Gain;Benefice;Etat
25/11/2018;ParionsSport;F1 Tipster;Auto-Moto;Simple;Raikkonen champion du monde;150;2;-2;-2;Perdu
25/11/2018;ParionsSport;ADP Tipster;Tennis;Simple;Croatie gagne Coupe Davis;1.8;25;0;0;En attente
18/11/2018;ParionsSport;ADP Tipster;Auto-Moto;Simple;Lorenzo vainqueur CM sans Marquez;2.5;42;0;0;En attente
04/11/2018;Bwin;ADP Tipster;Auto-Moto;Simple;Bezzecchi vainqueur;2.65;15;-15;-15;Perdu
04/11/2018;Winamax;ADP Tipster;Auto-Moto;Simple;Marquez vainqueur;2.5;45;112.5;67.5;Gagne
04/11/2018;Bwin;ADP Tipster;Auto-Moto;Simple;Marini podium;3;24;72;48;Gagne
04/11/2018;ParionsSport;ADP Tipster;Auto-Moto;Simple;Marini vainqueur;10;6;60;54;Gagne
04/11/2018;Bwin;ADP Tipster;Auto-Moto;Simple;Dovizioso vainqueur;2.4;60;-60;-60;Perdu
28/10/2018;Bwin;F1 Tipster;Auto-Moto;Simple;RedBull gagne la course;4;30;120;90;Gagne
28/10/2018;ParionsSport;F1 Tipster;Auto-Moto;Simple;Raikkonen > Hamilton;3;35;105;70;Gagne
28/10/2018;Betclic;F1 Tipster;Athletisme;Simple;Stroll top 10;14.5;10;-10;-10;Perdu
28/10/2018;Betclic;F1 Tipster;Auto-Moto;Simple;Ericsson top 10;3.5;30;105;75;Gagne
28/10/2018;PMU;ADP Tipster;Auto-Moto;Simple;Martin vainqueur;1.8;25;-25;-25;Perdu
28/10/2018;Betclic;F1 Tipster;Auto-Moto;Simple;Perez meilleur tour en course;100;5;-5;-5;Perdu
28/10/2018;Betclic;F1 Tipster;Auto-Moto;Simple;Les 2 RedBull dans les points;1.95;50;-50;-50;Perdu
28/10/2018;Bwin;F1 Tipster;Auto-Moto;Simple;Hulkenberg top 6;4;30;120;90;Gagne
28/10/2018;Bwin;F1 Tipster;Auto-Moto;Simple;Perez top 6;4;30;-30;-30;Perdu
28/10/2018;Bwin;F1 Tipster;Auto-Moto;Simple;Ricciardo Podium (il envoie sur MatchBook a 3.1);2.85;30;-30;-30;Perdu
28/10/2018;Unibet;ADP Tipster;Auto-Moto;Simple;Iannone vainqueur;11.75;5;-5;-5;Perdu
28/10/2018;ParionsSport;ADP Tipster;Auto-Moto;Simple;Binder vainqueur;3.75;25;93.75;68.75;Gagne
28/10/2018;Unibet;ADP Tipster;Auto-Moto;Simple;Marquez vainqueur;1.8;50;-50;-50;Perdu
28/10/2018;Winamax;ADP Tipster;Auto-Moto;Simple;Binder vainqueur;5;25;125;100;Gagne
28/10/2018;Unibet;ADP Tipster;Auto-Moto;Simple;Iannone podium;2.65;25;66.25;41.25;Gagne
27/10/2018;Bwin;F1 Tipster;Auto-Moto;Simple;Vettel vainqueur qualifications;2.5;40;-40;-40;Perdu
27/10/2018;Pinnacle;ADP Tipster;Ski;Simple;Gut > Hrovat (John Tatane);2.23;30;66.9;36.9;Gagne
27/10/2018;Betclic;ADP Tipster;Ski;Simple;Worley top 3 (Fabrice Fitou);2.25;30;67.5;37.5;Gagne
24/10/2018;Pinnacle;Jorge_Javier;Tennis;Simple;Sloane Stephens;1.675;30;50.25;20.25;Gagne
24/10/2018;Asianodds;Zigfrid;Football;Simple;Vegalta Sendai 0.75;1.65;50;82.5;32.5;Gagne
22/10/2018;Asianodds;Taivo;Football;Simple;Heracles Almelo (R) 0;2.25;30;67.5;37.5;Gagne
22/10/2018;Asianodds;Time Bomb;Football;Simple;Lincoln City -0.75;1.6;60;-60;-60;Perdu
21/10/2018;Winamax;ADP Tipster;Auto-Moto;Simple;Bagnaia vainqueur;2.95;20;59;39;Gagne
21/10/2018;ZeBet;ADP Tipster;Auto-Moto;Simple;Bagnaia vainqueur;2.6;10;26;16;Gagne
21/10/2018;ParionsSport;ADP Tipster;Auto-Moto;Simple;Marquez vainqueur;2.15;50;107.5;57.5;Gagne
21/10/2018;ParionsSport;F1 Tipster;Auto-Moto;Simple;Verstappen et Ricciardo podium;10;10;-10;-10;Perdu
21/10/2018;PMU;F1 Tipster;Auto-Moto;Simple;Hartley dans les points;8;9;-9;-9;Perdu
21/10/2018;Netbet;ADP Tipster;Auto-Moto;Simple;Dovizioso vainqueur;3.6;50;-50;-50;Perdu
21/10/2018;ParionsSport;F1 Tipster;Auto-Moto;Simple;Sainz Top 10;2.5;40;100;60;Gagne
21/10/2018;Bwin;F1 Tipster;Auto-Moto;Simple;Sainz Top 6;11;15;-15;-15;Perdu
21/10/2018;PMU;F1 Tipster;Auto-Moto;Simple;Vettel meilleur tour en course;5;25;-25;-25;Perdu
21/10/2018;ParionsSport;F1 Tipster;Auto-Moto;Simple;Les 2 Force India dans les points;2;50;100;50;Gagne
21/10/2018;Bwin;F1 Tipster;Auto-Moto;Simple;Ricciardo Podium;3.5;27;-27;-27;Perdu
21/10/2018;ParionsSport;F1 Tipster;Auto-Moto;Simple;Raikkonen Pole Position;15;7;-7;-7;Perdu
13/10/2018;Winamax;Basket LNB;Basketball;Simple;Under 146.5 points : Poitiers - Lille;1.82;30;-30;-30;Perdu
12/10/2018;Unibet;Basket LNB;Basketball;Simple;Under 160.5 : Saint-Chamond - Rouen;1.73;26;44.98;18.98;Gagne
12/10/2018;Pinnacle;Rugby Tipster 15;Rugby;Simple;Over 157 : Pumas - Lions;1.854;20;-20;-20;Perdu
12/10/2018;Pinnacle;Opsimos;Volleyball;Simple;Jastrzebski Wegiel -1.5;1.854;20;37.08;17.08;Gagne
12/10/2018;Pinnacle;Jorge_Javier;Tennis;Simple;Camila Giorgi;1.675;15;25.13;10.13;Gagne
12/10/2018;Pinnacle;Hockey Betting;Hockey sur glace;Simple;Yuzhny Ural Orsk 0;1.781;25;-25;-25;Perdu
12/10/2018;Pinnacle;Hockey Betting;Hockey sur glace;Simple;Buran Voronezh 0;1.961;30;-30;-30;Perdu
12/10/2018;Pinnacle;Rusp;Hockey sur glace;Simple;Lokomotiv Yaroslavl;1.869;40;74.76;34.76;Gagne
12/10/2018;Asianodds;IV0815;Football;Simple;Werder Bremen -0.75;1.86;20;28.6;8.6;Moitie gagne
12/10/2018;Asianodds;Osaznosa;Basketball;Simple;Tampereen Pyrinto -8.5;1.83;20;36.6;16.6;Gagne
12/10/2018;Asianodds;Basket LNB;Basketball;Simple;JA Vichy Clermont Metropole +4.5;1.89;20;37.8;17.8;Gagne
12/10/2018;Asianodds;Basket LNB;Basketball;Simple;Over 160.5 : Chorale Roanne -VS- BC Gries Oberhoffen;1.88;20;37.6;17.6;Gagne
12/10/2018;Asianodds;Basket LNB;Basketball;Simple;Nantes Basket Hermine -3.5;1.85;20;37;17;Gagne
12/10/2018;Asianodds;Basket LNB;Basketball;Simple;Under 151 : ASC Denain Voltaire -VS- JA Vichy Clermont Metropole;1.74;15;26.1;11.1;Gagne
12/10/2018;Asianodds;Arabic Leagues;Football;Simple;Over 1.75 : Saudi Arabia -VS- Brazil;1.84;20;28.4;8.4;Moitie gagne
12/10/2018;Asianodds;Basket LNB;Basketball;Simple;Over 145 : Nantes Basket Hermine -VS- Paris Basketball;1.79;20;-20;-20;Perdu
12/10/2018;Asianodds;Arabic Leagues;Football;Simple;Algeria HT;2.04;25;51;26;Gagne
12/10/2018;Asianodds;Marcip;Football;Simple;Basque Country;1.79;20;35.8;15.8;Gagne
12/10/2018;Asianodds;Basket LNB;Basketball;Simple;C Chartres Basket +7;1.83;30;-30;-30;Perdu
12/10/2018;Asianodds;Pe2ro;Football;Simple;Croatia - No. of Bookings -VS- England - No. of Bookings OVER 3.5;1.99;15;29.85;14.85;Gagne
12/10/2018;Asianodds;Basket LNB;Basketball;Simple;Over 164.5 : Aix Maurienne Savoie -VS- C Chartres Basket;1.88;15;28.2;13.2;Gagne
12/10/2018;Asianodds;Mr Betting;Football;Simple;3 de Febrero 0.5;1.89;40;75.6;35.6;Gagne
12/10/2018;Asianodds;Juanmovic;Basketball;Simple;River Andorra -7;1.67;20;-20;-20;Perdu
12/10/2018;Asianodds;Mr Betting;Football;Simple;Fluminense RJ 0.5;2.21;25;-25;-25;Perdu
12/10/2018;Asianodds;Osaznosa;Basketball;Simple;Flyers Wels -2.5;1.87;15;28.05;13.05;Gagne
12/10/2018;Asianodds;Mr Betting;Football;Simple;Atletico Paranaense -1;1.73;30;51.9;21.9;Gagne
12/10/2018;Asianodds;Mr Betting;Football;Simple;Vasco de Gama;2.25;20;45;25;Gagne
07/10/2018;ParionsSport;F1 Tipster;Auto-Moto;Simple;Meilleur tour en course Grosjean;65;3;-3;-3;Perdu
07/10/2018;ParionsSport;F1 Tipster;Auto-Moto;Simple;Meilleur tour en course Bottas;7;15;-15;-15;Perdu
07/10/2018;Bwin;F1 Tipster;Auto-Moto;Simple;Verstappen pole position;13;4;-4;-4;Perdu
07/10/2018;ParionsSport;F1 Tipster;Football;Simple;Hamilton v Vettel;1.5;60;90;30;Gagne
07/10/2018;Pinnacle;F1 Tipster;Auto-Moto;Simple;Verstappen vainqueur;17.72;10;-10;-10;Perdu
07/10/2018;Betclic;F1 Tipster;Auto-Moto;Simple;Les 2 Force India dans les points;2.2;50;110;60;Gagne
07/10/2018;Bwin;F1 Tipster;Auto-Moto;Simple;Verstappen podium;3.25;20;65;45;Gagne
07/10/2018;ParionsSport;F1 Tipster;Auto-Moto;Simple;Verstappen podium;2.5;35;87.5;52.5;Gagne
30/09/2018;Betclic;F1 Tipster;Auto-Moto;Simple;Perez top 6;2.55;30;-30;-30;Perdu
30/09/2018;PMU;F1 Tipster;Auto-Moto;Simple;Sirotkin top 10;18;7;-7;-7;Perdu
30/09/2018;ParionsSport;F1 Tipster;Football;Simple;Les 2 RedBull dans les points;2;40;80;40;Gagne
30/09/2018;ParionsSport;F1 Tipster;Auto-Moto;Simple;Les 2 Force India dans les points;2.05;40;82;42;Gagne
30/09/2018;ParionsSport;F1 Tipster;Auto-Moto;Simple;Ricciardo meilleur tour en course;5.5;15;-15;-15;Perdu
30/09/2018;ParionsSport;F1 Tipster;Auto-Moto;Simple;Gasly top 10;7;11;-11;-11;Perdu
30/09/2018;Pinnacle;F1 Tipster;Auto-Moto;Simple;Hulkenberg > Sainz;1.98;40;79.2;39.2;Gagne
30/09/2018;Pinnacle;F1 Tipster;Auto-Moto;Simple;Vettel vainqueur qualifications;2.54;35;-35;-35;Perdu
30/09/2018;Bwin;F1 Tipster;Auto-Moto;Simple;Raikkonen podium;2;45;-45;-45;Perdu
23/09/2018;ParionsSport;ADP Tipster;Auto-Moto;Simple;Oliveira vainqueur;4;60;-60;-60;Perdu
23/09/2018;Winamax;ADP Tipster;Auto-Moto;Simple;Oliveira vainqueur;4;5;-5;-5;Perdu
23/09/2018;Bwin;ADP Tipster;Auto-Moto;Simple;Marquez vainqueur;2.15;50;107.5;57.5;Gagne
16/09/2018;10Bet;F1 Tipster;Auto-Moto;Simple;Perez top 3. Alonso top 3. Hulkenberg top 3;2;10;-10;-10;Perdu
16/09/2018;10Bet;F1 Tipster;Auto-Moto;Simple;Raikkonen meilleur tour en course;8;10;-10;-10;Perdu
16/09/2018;10Bet;F1 Tipster;Auto-Moto;Simple;Raikkonen Pole Position;8;10;-10;-10;Perdu
16/09/2018;10Bet;F1 Tipster;Auto-Moto;Simple;Vandoorne top 10;10;8;-8;-8;Perdu
16/09/2018;10Bet;F1 Tipster;Auto-Moto;Simple;Ferrari gagne la course;1.95;50;-50;-50;Perdu
16/09/2018;10Bet;F1 Tipster;Auto-Moto;Simple;Raikkonen gagne;9;10;-10;-10;Perdu
16/09/2018;10Bet;F1 Tipster;Auto-Moto;Simple;GP Singapour 2018 Alonso Top 6;3.9;20;-20;-20;Perdu
16/09/2018;Bwin;F1 Tipster;Auto-Moto;Simple;Raikkonen podium;2;40;-40;-40;Perdu
16/09/2018;Bwin;F1 Tipster;Auto-Moto;Simple;Ricciardo Podium;2.4;34;-34;-34;Perdu
16/09/2018;Bwin;F1 Tipster;Auto-Moto;Simple;Gasly top 6;3.75;25;-25;-25;Perdu
16/09/2018;Pinnacle;F1 Tipster;Auto-Moto;Simple;Raikkonen > Bottas;1.99;40;-40;-40;Perdu
09/09/2018;Unibet;ADP Tipster;Auto-Moto;Simple;Baldarassi vainqueur;8;10;-10;-10;Perdu
09/09/2018;10Bet;ADP Tipster;Auto-Moto;Simple;Marquez vainqueur;3.9;20;-20;-20;Perdu
09/09/2018;10Bet;ADP Tipster;Auto-Moto;Simple;Lorenzo vainqueur;3.75;35;-35;-35;Perdu
09/09/2018;10Bet;ADP Tipster;Auto-Moto;Simple;Pasini vainqueur;9;5;-5;-5;Perdu
09/09/2018;Bwin;ADP Tipster;Auto-Moto;Simple;Bagnaia vainqueur;1.78;30;53.4;23.4;Gagne
09/09/2018;Bwin;ADP Tipster;Auto-Moto;Simple;Bagnaia vainqueur;2.6;30;78;48;Gagne
02/09/2018;PMU;F1 Tipster;Auto-Moto;Simple;Leclerc win without big 6;6;12;-12;-12;Perdu
02/09/2018;PMU;F1 Tipster;Auto-Moto;Simple;Raikkonen vainqueur et place;1.33;20;26.6;6.6;Gagne
02/09/2018;10Bet;F1 Tipster;Auto-Moto;Simple;GP Italie 2018 RB 1er team ˆ abandonner;15;5;-5;-5;Perdu
02/09/2018;10Bet;F1 Tipster;Auto-Moto;Simple;GP Italie 2018 Raikkonen meilleur tour en course;4.9;15;-15;-15;Perdu
02/09/2018;10Bet;F1 Tipster;Auto-Moto;Simple;GP Italie 2018 2 Force India Top 10;2.15;30;64.5;34.5;Gagne
02/09/2018;Bwin;F1 Tipster;Auto-Moto;Simple;Leclerc top 6;4.5;15;-15;-15;Perdu
02/09/2018;Pinnacle;F1 Tipster;Auto-Moto;Simple;Sirotkin > Stroll;2.34;15;-15;-15;Perdu
02/09/2018;Pinnacle;F1 Tipster;Auto-Moto;Simple;Leclerc > Gasly;2.34;30;70.2;40.2;Gagne
02/09/2018;Pinnacle;F1 Tipster;Auto-Moto;Simple;Raikkonen Pole Position;7.43;10;74.3;64.3;Gagne
26/08/2018;Betclic;F1 Tipster;Autre sport;Simple;Ericsson top 10;3.45;12;41.4;29.4;Gagne
26/08/2018;10Bet;F1 Tipster;Auto-Moto;Simple;Ricciardo v Verstappen;2;35;70;35;Gagne
26/08/2018;10Bet;F1 Tipster;Auto-Moto;Simple;GP Belgique 2018 Force India vainqueur;200;3;-3;-3;Perdu
26/08/2018;Bwin;F1 Tipster;Auto-Moto;Simple;Hamilton pole position;2.6;21;54.6;33.6;Gagne
26/08/2018;10Bet;F1 Tipster;Auto-Moto;Simple;GP Belgique 2018 Raikkonen podium;1.8;45;-45;-45;Perdu
