Date;Bookmaker;Tipster;Sport;Type;Intitule du pari;Cote;Mise;Gain;Benefice;Etat
8/1/2018;Asianodds;Autre Tipster;Football;Simple;El Zamalek -0.75;1.78;300.00;-300.00;-300.00;Perdu
8/1/2018;Betway;Autre Tipster;Football;Simple;Over 3.5 : TUS - Anger;1.86;250.00;-250.00;-250.00;Perdu
8/1/2018;188Bet;Cheser;Football;Simple;Selfoss W +0.75;1.94;150.00;-150.00;-150.00;Perdu
8/1/2018;MarathonBet;Cheser;Football;Simple;Selfoss W +1;1.56;90.00;-90.00;-90.00;Perdu
8/1/2018;Asianodds;Dedi;Football;Simple;Maccabi Haifa;2.045;200.00;-200.00;-200.00;Perdu
8/1/2018;188Bet;Rado;Football;Simple;Galatasaray;3.25;300.00;-300.00;-300.00;Perdu
8/1/2018;188Bet;Rado;Football;Simple;Over 1.25 HT : Breda;2.38;245.00;-122.50;-122.50;Moitie perdu
7/31/2018;Bet365;AntoSeti;Tennis;Simple;Ingarao;2.37;150.00;355.50;205.50;Gagne
7/31/2018;Bet365;Atlantic Puffin;Football;Simple;Over 5.75 : Orebro W;1.9;225.00;-225.00;-225.00;Perdu
7/31/2018;Betway;Autre Tipster;Football;Simple;Over 1 HT : Vosendorf;1.86;300.00;-300.00;-300.00;Perdu
7/31/2018;Pinnacle;Autre Tipster;Football;Simple;Hapoel Beer Sheva - Dinamo Zagreb Full Event Home under 1.25 (Team O/U);2.08;160.00;-160.00;-160.00;Perdu
7/31/2018;Pinnacle;Autre Tipster;Football;Simple;Kryliya Sovetov - CSKA Moscow Full Event Under 2;1.925;250.00;481.25;231.25;Gagne
7/31/2018;Pinnacle;Autre Tipster;Football;Simple;Sovetov 0.25;2.07;250.00;383.75;133.75;Moitie gagne
7/31/2018;Bet365;Autre Tipster;Tennis;Simple;van de zandschulp;2;250.00;500.00;250.00;Gagne
7/31/2018;Asianodds;Autre Tipster;Football;Simple;bahia or x;2.49;140.00;348.60;208.60;Gagne
7/31/2018;188Bet;Autre Tipster;Football;Simple;Venezuela W -1;1.76;180.00;0.00;0.00;Rembourse
7/31/2018;Betway;Autre Tipster;Football;Simple;Over 4.5 : Lafnitz;1.9;250.00;-250.00;-250.00;Perdu
7/31/2018;188Bet;Autre Tipster;Football;Simple;Under 2.25 : Uruguay U20;1.77;200.00;354.00;154.00;Gagne
7/31/2018;MarathonBet;Awer;Hockey sur glace;Simple;HC Banik Sokolov vs HC Slovan Usti nad Labem Over 5.5;1.81;300.00;543.00;243.00;Gagne
7/31/2018;MarathonBet;Awer;Football;Simple;slovan liberec -0.25;1.99;300.00;-300.00;-300.00;Perdu
7/31/2018;188Bet;Bekantan;Football;Simple;perseru serui -0.25;2.02;250.00;505.00;255.00;Gagne
