Date;Bookmaker;Tipster;Sport;Type;Intitule du pari;Cote;Mise;Gain;Benefice;Etat
07/01/18;PMU;BetVolley;Volleyball;Simple;egypt 1.5;1.97;330;650.1;320.1;Gagne
07/01/18;Pinnacle;Rugby Tipster 15;Rugby;Simple;sharks 0;2.5;300;750;450;Gagne
07/01/18;Pinnacle;Safin;Football;Simple;delfin;2.14;250;-250;-250;Perdu
07/01/18;Betway;Xargos;Basketball;Simple;Over 106.5 : match 1;1.84;300;552;252;Gagne
07/01/18;188Bet;Blink18222;Football;Simple;Over 2.5 : Delfin;4.33;200;-200;-200;Perdu
07/01/18;188Bet;Rugby Tipster 15;Rugby;Simple;Stormers;4.7;100;-100;-100;Perdu
6/30/2018;PMU;Anonim31;Basketball;Simple;Sydney W +16.5;1.85;200;-200;-200;Perdu
6/30/2018;PMU;Klyde;MMA;Simple;Jurisic;1.57;300;471;171;Gagne
6/30/2018;PMU;Xargos;Basketball;Simple;Under 168.5 : Belgique;1.97;103;202.91;99.91;Gagne
6/30/2018;PMU;Autre Tipster;Basketball;Simple;norway w +38;1.85;35;64.75;29.75;Gagne
6/30/2018;PMU;Autre Tipster;Tennis;Simple;karatsev jeu 5 set 1;1.6;200;320;120;Gagne
6/30/2018;PMU;Autre Tipster;Tennis;Simple;occlepo/vavassori;1.77;205;362.85;157.85;Gagne
6/30/2018;PMU;Autre Tipster;Basketball;Simple;Indios de San Francisco et alternatives - un peu sur 10Bet;1.83;125;228.75;103.75;Gagne
6/30/2018;Pinnacle;Autre Tipster;Rugby;Simple;Newcastle Knights - Canterbury Bulldogs Full Event Over 39.5;1.787;330;589.71;259.71;Gagne
6/30/2018;Netbet;Xargos;Basketball;Simple;Red Baron MPL-D vs PRG Warrios MPL-D Over 116.5;1.82;155;282.1;127.1;Gagne
6/30/2018;MarathonBet;AntoSeti;Tennis;Simple;douvre bax under 15.5;2;120;240;120;Gagne
6/30/2018;MarathonBet;AntoSeti;Tennis;Simple;soriano barrera plus de 15.5 jeux;1.85;100;185;85;Gagne
6/30/2018;MarathonBet;AntoSeti;Tennis;Simple;herrera cuadrado;2.358;100;235.8;135.8;Gagne
6/30/2018;MarathonBet;Awer;Football;Simple;FK Usti nad Labem v Slavia Prague U21 Over 1.5 (First Half Goals);2.49;67;166.83;99.83;Gagne
6/30/2018;MarathonBet;BetVolley;Volleyball;Simple;tunisia;2.4;330;-330;-330;Perdu
6/30/2018;MarathonBet;Blink18222;Football;Simple;KuPS Kuopio v SJK (0-0) Over 0.5 (1st Half Goal Line;2.73;250;-250;-250;Perdu
6/30/2018;MarathonBet;Garfield;Football;Simple;belconene w -2;1.74;150;-150;-150;Perdu
6/30/2018;MarathonBet;Garfield;Football;Simple;belconnen w ht;2;135;-135;-135;Perdu
6/30/2018;MarathonBet;Ludo Picks Perso;Football;Simple;edgeworth eagles -3.5;1.69;100;169;69;Gagne
