Date;Bookmaker;Tipster;Sport;Type;Intitule du pari;Cote;Mise;Gain;Benefice;Etat
01/04/2018;Asianodds;Brucinger;Football;Simple;Juvenil 0;2.59;200;0;0;Rembourse
01/04/2018;Asianodds;Brucinger;Football;Simple;Over 2.5 : O'Higgins;1.7;200;340;140;Gagne
01/04/2018;Asianodds;Brucinger;Football;Simple;Orlando City;2.16;200;432;232;Gagne
01/04/2018;Pinnacle;Autre Tipster;Basketball;Simple;Hispano Americano;1.571;240;-240;-240;Perdu
01/04/2018;Pinnacle;Awer;Football;Simple;Over 2.75 : Teplice;2.13;200;-200;-200;Perdu
01/04/2018;PMU;Autre Tipster;Football;Simple;Rampla;3.15;40;-40;-40;Perdu
01/04/2018;PMU;Autre Tipster;Football;Simple;Rampla 0;1.85;40;0;0;Rembourse
31/03/2018;Asianodds;Autre Tipster;Football;Simple;Sturm Graz [-1];2.39;300;717;417;Gagne
31/03/2018;Asianodds;Autre Tipster;Football;Simple;real oviedo;2.03;300;-300;-300;Perdu
31/03/2018;Asianodds;Autre Tipster;Football;Simple;AEK Larnaca [0.5] @ 2.11;2.11;300;633;333;Gagne
31/03/2018;Asianodds;Autre Tipster;Football;Simple;korona kielce;2.07;300;621;321;Gagne
31/03/2018;Asianodds;Autre Tipster;Football;Simple;penafiel;2.53;300;-300;-300;Perdu
31/03/2018;Asianodds;Autre Tipster;Football;Simple;Chaves [0] @ 2.38;2.38;300;-300;-300;Perdu
31/03/2018;Asianodds;Autre Tipster;Football;Simple;augsburg 1;2.29;300;687;387;Gagne
31/03/2018;Asianodds;Autre Tipster;Football;Simple;SFC Opava -VS- SC Znojmo OVER 3.5;1.8;80;-80;-80;Perdu
31/03/2018;Asianodds;Autre Tipster;Football;Simple;karlsruher;1.85;300;555;255;Gagne
31/03/2018;Asianodds;Autre Tipster;Football;Simple;Henan Jianye [-0.25] @ 1.88;1.88;200;-100;-100;Moitie perdu
31/03/2018;Asianodds;Autre Tipster;Football;Simple;VfR Aalen or draw;2.11;300;-300;-300;Perdu
31/03/2018;Asianodds;Autre Tipster;Football;Simple;Altinordu [0.5] @ 1.96;1.96;300;588;288;Gagne
31/03/2018;Asianodds;Autre Tipster;Football;Simple;dijon or draw;2.2;300;-300;-300;Perdu
31/03/2018;Asianodds;Autre Tipster;Football;Simple;Bologna [1] @ 2.06;2.06;300;618;318;Gagne
31/03/2018;Asianodds;Autre Tipster;Football;Simple;West Ham United -VS- Southampton X @;3.25;200;-200;-200;Perdu
31/03/2018;Asianodds;Autre Tipster;Football;Simple;Charleroi ou Nul;2.21;300;-300;-300;Perdu
31/03/2018;Asianodds;Autre Tipster;Football;Simple;Hartberg 0;2.37;300;711;411;Gagne
31/03/2018;Asianodds;Autre Tipster;Football;Simple;Dordrecht +1;2.35;300;705;405;Gagne
31/03/2018;Asianodds;Brucinger;Football;Simple;Olympiakos -1.5 (0-1);1.65;200;-200;-200;Perdu
31/03/2018;Asianodds;Brucinger;Football;Simple;rotor volgograd;2.6;200;520;320;Gagne
31/03/2018;Asianodds;Brucinger;Football;Simple;Slovan Bratislava -VS- MFK Ruzomberok OVER [2.5] @ 1.78;1.78;200;-200;-200;Perdu
31/03/2018;Asianodds;Brucinger;Football;Simple;mioveni ht;1.73;200;-200;-200;Perdu
31/03/2018;Asianodds;Garfield;Football;Simple;Korona Kielce -VS- Lechia Gdansk OVER [2.25] @ 1.89;1.89;200;-200;-200;Perdu
31/03/2018;Asianodds;Garfield;Football;Simple;Gornik Zabrze [-0.5] @ 1.92;1.92;200;-200;-200;Perdu
31/03/2018;Asianodds;Garfield;Football;Simple;Gornik Zabrze -VS- Sandecja Nowy Sacz OVER [2.5] @ 1.84;1.84;200;368;168;Gagne
31/03/2018;Asianodds;Garfield;Football;Simple;Ventspils [-2.25] @ 1.94;1.94;200;-100;-100;Moitie perdu
31/03/2018;Bet365;Autre Tipster;Football;Simple;al urooba -1.25;1.92;115;-115;-115;Perdu
31/03/2018;Bet365;Autre Tipster;Football;Simple;al urooba -1;1.7;85;-85;-85;Perdu
31/03/2018;Bet365;Autre Tipster;Football;Simple;betis b 0.75;1.85;50;92.5;42.5;Gagne
31/03/2018;Bet365;Juako;Futsal;Simple;peniscola o draw;1.95;150;-150;-150;Perdu
31/03/2018;Bet365;Ludo;Football;Simple;+;2;80;160;80;Gagne
31/03/2018;Bet365;Ludo;Football;Simple;al urooba -1.25 + peniscola or draw;4.58;44;-44;-44;Perdu
31/03/2018;BetFair;Autre Tipster;Football;Simple;pena sport 0.25;1.752;50;87.6;37.6;Gagne
31/03/2018;BetFair;Autre Tipster;Football;Simple;Dijon - Marseille Full Event Draw (1X2);4.1;150;-150;-150;Perdu
31/03/2018;Betway;Autre Tipster;Tennis;Simple;flink;1.83;200;366;166;Gagne
31/03/2018;MarathonBet;Autre Tipster;Football;Simple;Dijon - Marseille BTTS;2.12;80;169.6;89.6;Gagne
31/03/2018;MarathonBet;Autre Tipster;Football;Simple;al urooba;1.62;200;-200;-200;Perdu
31/03/2018;MarathonBet;Autre Tipster;Football;Simple;al fujairah -1;1.6;200;320;120;Gagne
31/03/2018;MarathonBet;Autre Tipster;Football;Simple;al urooba HT;1.93;200;-200;-200;Perdu
31/03/2018;MarathonBet;Autre Tipster;Football;Simple;al ared u20 0;1.8;124;0;0;Rembourse
31/03/2018;MarathonBet;Autre Tipster;Football;Simple;matera over 2.5;1.909;80;-80;-80;Perdu
31/03/2018;MarathonBet;Autre Tipster;Tennis;Simple;Georgina Garcia Perez -3;1.88;28;52.64;24.64;Gagne
31/03/2018;MarathonBet;Autre Tipster;Tennis;Simple;Georgina Garcia Perez -3.5;1.99;19;37.81;18.81;Gagne
31/03/2018;MarathonBet;Autre Tipster;Tennis;Simple;Casanova+Gonz‡lez;1.9;100;-100;-100;Perdu
31/03/2018;MarathonBet;Autre Tipster;Football;Simple;Dijon - Marseille Full Event Draw (1X2);4.05;50;-50;-50;Perdu
31/03/2018;MarathonBet;BetVolley;Volleyball;Simple;conegliano W;1.98;180;356.4;176.4;Gagne
31/03/2018;MarathonBet;Brucinger;Football;Simple;gks belchatow;2.12;200;424;224;Gagne
31/03/2018;MarathonBet;Brucinger;Football;Simple;Under 2.5 : Al-Faysaly;2.05;200;410;210;Gagne
31/03/2018;MarathonBet;Garfield;Football;Simple;wisla u19;1.8;108;-108;-108;Perdu
31/03/2018;MarathonBet;Juako;Futsal;Simple;opde ribera de navarra - o parrulo ferrol under 6.5;1.85;147;-147;-147;Perdu
31/03/2018;MarathonBet;Juako;Futsal;Simple;Under 6.5 : Levante - Barcelona;1.88;150;-150;-150;Perdu
31/03/2018;MarathonBet;Rugby Tipster 15;Rugby;Simple;bulls 0;2.29;96;219.84;123.84;Gagne
31/03/2018;MarathonBet;Zorro;Tennis;Simple;gonzalez 4.5;1.87;100;-100;-100;Perdu
31/03/2018;Netbet;Awer;Football;Simple;Bosonohy +0.5;2.2;200;-200;-200;Perdu
31/03/2018;Netbet;Garfield;Football;Simple;welco 0;1.8;200;0;0;Rembourse
31/03/2018;Pinnacle;Autre Tipster;Football;Simple;Raith Rovers -VS- Albion Rovers OVER [2.25];2.61;80;-40;-40;Moitie perdu
