Date;Bookmaker;Tipster;Sport;Type;Intitule du pari;Cote;Mise;Gain;Benefice;Etat
01/10/2018;Bet365;Don Chaik;Football;Simple;la clippers over 114.5 tt;1.95;50;-50;-50;Perdu
01/10/2018;Bet365;Opsimos;Volleyball;Simple;USA gagne (compte supanwg);2.75;300;-300;-300;Perdu
30/09/2018;Pinnacle;Jorge_Javier;Tennis;Simple;Sloane Stephens;1.787;300;536.1;236.1;Gagne
30/09/2018;Asianodds;Claptone;Football;Simple;palmeiras;1.833;300;549.9;249.9;Gagne
30/09/2018;Bet365;Biggie;Football;Simple;Rangers Women v Hamilton Women Over 6.5;1.83;300;549;249;Gagne
30/09/2018;Pinnacle;Opsimos;Football;Simple;usa -1.5;2.28;100;228;128;Gagne
30/09/2018;Bet365;Don Chaik;Football;Simple;pkns 0;2.03;500;-500;-500;Perdu
30/09/2018;Asianodds;Birjan;Football;Simple;cali -0.75;1.75;250;-250;-250;Perdu
30/09/2018;Bet365;Biggie;Football;Simple;Port Talbot Women to score 2nd goal;1.66;300;498;198;Gagne
30/09/2018;Bet365;Biggie;Football;Simple;pkns to qualify;2.37;150;-150;-150;Perdu
30/09/2018;Bet365;Biggie;Football;Simple;pkns;3;150;-150;-150;Perdu
30/09/2018;MarathonBet;Juanmovic;Basketball;Simple;joventut;1.82;125;0;0;Rembourse
30/09/2018;Pinnacle;Mr Betting;Football;Simple;libertad asuncion;2.1;300;-300;-300;Perdu
30/09/2018;Pinnacle;Cheser;Football;Simple;perak +2.25;1.9;240;456;216;Gagne
30/09/2018;MarathonBet;Cheser;Football;Simple;VIFK Women;1.76;320;-320;-320;Perdu
30/09/2018;Asianodds;Don Chaik;Football;Simple;pkns ht;2.06;300;-300;-300;Perdu
30/09/2018;Asianodds;Brucinger;Football;Simple;Atletico Mineiro - Sport Recife Full Event Over 2.5;2.01;200;402;202;Gagne
30/09/2018;Asianodds;Atlantic Puffin;Football;Simple;odd 2 - 0.25;2.13;375;-375;-375;Perdu
30/09/2018;Asianodds;Don Chaik;Football;Simple;Arameisk Syrianska IF -VS- Assyriska F over 3.25;1.714;300;514.2;214.2;Gagne
30/09/2018;Asianodds;IV0815;Football;Simple;FSV Zwickau 0.75;2.03;300;-150;-150;Moitie perdu
30/09/2018;Asianodds;From Denmark With Love;Football;Simple;Esbjerg FB - Aarhus AGF Full Event Under 2;1.952;300;585.6;285.6;Gagne
30/09/2018;Asianodds;Don Chaik;Football;Simple;Lokomotiv Oslo v Kristiansund 2 (2-0) Over 2.5 (1st Half Goal Line;1.99;150;-150;-150;Perdu
30/09/2018;Bet365;Biggie;Football;Simple;cardiff;1.61;299;481.39;182.39;Gagne
30/09/2018;Asianodds;From Denmark With Love;Football;Simple;Viborg FF -0.75;1.92;300;576;276;Gagne
30/09/2018;Betway;Osaznosa;Basketball;Simple;gimle w +4.5;1.81;330;-330;-330;Perdu
30/09/2018;Bet365;Pe2ro;Football;Simple;Real Betis (Bookings) - Leganes (Bookings) Full Event Under 5.5;1.725;300;517.5;217.5;Gagne
30/09/2018;Bet365;Pe2ro;Football;Simple;Levante UD (Bookings) - Alaves (Bookings) Full Event Under 5.5;1.8;300;-300;-300;Perdu
30/09/2018;Bet365;Pe2ro;Football;Simple;Fiorentina (Bookings) - Atalanta BC (Bookings) Full Event Under 5;1.9;300;-300;-300;Perdu
30/09/2018;Bet365;Pe2ro;Football;Simple;Parma FC (Bookings) - Empoli (Bookings) Full Event Under 5;1.8;300;0;0;Rembourse
30/09/2018;Pinnacle;Pe2ro;Football;Simple;Augsburg (Bookings) - Freiburg (Bookings) Full Event Over 4;1.725;300;-300;-300;Perdu
30/09/2018;Bet365;Pe2ro;Football;Simple;Cardiff City (Bookings) - Burnley (Bookings) Full Event Over 3.5;1.9;300;570;270;Gagne
30/09/2018;Pinnacle;Anonim31;Basketball;Simple;joventut -3.5;1.862;250;0;0;Rembourse
30/09/2018;Bet365;Biggie;Football;Simple;Partizan Bardejov Women v NMSK 1922 Bratislava Women Under 3;1.8;300;540;240;Gagne
30/09/2018;Pinnacle;SuperCardsPin;Football;Simple;Real Betis (Bookings) - Leganes (Bookings) Full Event Under 5.5;1.793;250;448.25;198.25;Gagne
30/09/2018;PMU;Pe2ro;Football;Simple;sassuolo + de cartons;2.08;300;-300;-300;Perdu
30/09/2018;Bet365;Ludo Picks Perso;Basketball;Simple;canada w-12.5 ht;1.76;200;-200;-200;Perdu
30/09/2018;Pinnacle;Awer;Football;Simple;teplice 0;2.98;300;-300;-300;Perdu
30/09/2018;Bet365;Jorge_Javier;Tennis;Simple;cornet/martic;3;200;600;400;Gagne
30/09/2018;Bet365;Biggie;Football;Simple;hradec u 21 goal 8;1.8;300;-300;-300;Perdu
30/09/2018;Betway;Garfield;Football;Simple;paide II ht;1.76;261;459.36;198.36;Gagne
