Date;Bookmaker;Tipster;Sport;Type;Intitule du pari;Cote;Mise;Gain;Benefice;Etat
6/1/2018;188Bet;Brucinger;Football;Simple;Over 2 : Madagascar;1.96;300;-300;-300;Perdu
6/1/2018;MarathonBet;Autre Tipster;Football;Simple;Over 0.5 HT : Lala;1.78;300;-300;-300;Perdu
6/1/2018;MarathonBet;Autre Tipster;Volleyball;Simple;Netherlands W SET 4;2.75;200;-200;-200;Perdu
6/1/2018;Pinnacle;Autre Tipster;Football;Simple;Bahia 1.25;1.8;350;-350;-350;Perdu
6/1/2018;Pinnacle;Autre Tipster;Football;Simple;Senegal -1;2.02;300;-300;-300;Perdu
5/31/2018;Pinnacle;Antoine Basket Cuts;Basketball;Simple;Unics Kazan - Nizhny Novgorod Full Event Under 162;1.9;300;-300;-300;Perdu
5/31/2018;Bet365;BetVolley;Volleyball;Simple;Belgique -1.5 sets (un peu sur MarathonBet et UniBet);2.06;385;793.1;408.1;Gagne
5/31/2018;Asianodds;Birjan;Football;Simple;Over 3 : Real Salt Lake;1.76;250;0;0;Rembourse
5/31/2018;Asianodds;Birjan;Football;Simple;Sao Paulo -0.75;1.83;250;353.75;103.75;Moitie gagne
5/31/2018;188Bet;Blink18222;Football;Simple;Tobol Kostanay or X;2.63;250;-250;-250;Perdu
5/31/2018;188Bet;Blink18222;Football;Simple;ha nam W over 2;1.94;250;0;0;Rembourse
5/31/2018;MarathonBet;Blink18222;Football;Simple;Vestmannaeyjar W HT;6;200;-200;-200;Perdu
5/31/2018;Netbet;Brucinger;Football;Simple;Over 5 : Maksimir (un peu sur MarathonBet);1.83;300;-300;-300;Perdu
5/31/2018;MarathonBet;Brucinger;Football;Simple;ha naw W -1;2.16;290;626.4;336.4;Gagne
5/31/2018;MarathonBet;Garfield;Football;Simple;Motor Lublin -2;1.78;150;-150;-150;Perdu
5/31/2018;Bet365;Ludo Picks Perso;Basketball;Simple;buba u 19 -19.5 ht;1.83;50;91.5;41.5;Gagne
5/31/2018;Bet365;Ludo Picks Perso;Basketball;Simple;bayi u19 w -4.5 Q3;1.83;50;-50;-50;Perdu
5/31/2018;Bet365;Ludo Picks Perso;Basketball;Simple;bayi u19 w -23.5 ht;1.83;50;91.5;41.5;Gagne
5/31/2018;188Bet;Megapoxy;Football;Simple;indonesia u23 0;1.71;150;-150;-150;Perdu
5/31/2018;188Bet;Rugby Tipster 15;Rugby;Simple;Australia U20 +4.5;1.88;300;-300;-300;Perdu
5/31/2018;Pinnacle;Time Bomb;Football;Simple;Cosenza;2.04;500;1020;520;Gagne
5/31/2018;10Bet;Xargos;Basketball;Simple;ADU Falcons vs CSB Blazers Over 126.5;1.84;100;184;84;Gagne
5/31/2018;Asianodds;Autre Tipster;Football;Simple;flamengo -1;1.79;250;447.5;197.5;Gagne
5/31/2018;MarathonBet;Autre Tipster;Football;Simple;san jose 0.25;1.57;71;111.47;40.47;Gagne
5/31/2018;MarathonBet;Autre Tipster;Football;Simple;san jose 0 un peu sur 10bet;1.82;230;418.6;188.6;Gagne
5/31/2018;Bet365;Autre Tipster;Football;Simple;Abkhazia -4.5;2.27;320;-320;-320;Perdu
5/31/2018;PMU;Autre Tipster;Football;Simple;cascadia or x;1.7;300;-300;-300;Perdu
5/31/2018;Bet365;Autre Tipster;Football;Simple;Abkhazia v Tibet Over 5.5;1.9;280;-280;-280;Perdu
5/31/2018;188Bet;Autre Tipster;Football;Simple;madagascar -1;1.92;225;0;0;Rembourse
5/31/2018;Asianodds;Autre Tipster;Football;Simple;st polten 0;1.79;300;537;237;Gagne
5/31/2018;Bet365;Autre Tipster;Rugby;Simple;north queensland cowboys 2.5;1.93;130;250.9;120.9;Gagne
5/31/2018;Unibet;Autre Tipster;Football;Simple;north queensland cowboys 7.5;1.56;170;265.2;95.2;Gagne
5/31/2018;Pinnacle;Autre Tipster;Football;Simple;Chicago Fire 1.25;1.9;300;-300;-300;Perdu
5/31/2018;Pinnacle;Autre Tipster;Football;Simple;Vitoria 0.25;1.934;350;-350;-350;Perdu
5/31/2018;Pinnacle;Autre Tipster;Football;Simple;Over 2.5 : Vitoria;2.36;210;495.6;285.6;Gagne
5/31/2018;Pinnacle;Autre Tipster;Football;Simple;Over 2.5 : Fluminense;2.15;210;-210;-210;Perdu
5/31/2018;Pinnacle;Autre Tipster;Football;Simple;Fluminense 1;2.09;210;438.9;228.9;Gagne
5/31/2018;Asianodds;Autre Tipster;Football;Simple;Palmeiras 0.5;1.77;250;-250;-250;Perdu
5/31/2018;Asianodds;Autre Tipster;Football;Simple;Fluminense 1.25;1.77;250;442.5;192.5;Gagne
5/31/2018;188Bet;Autre Tipster;Football;Simple;Valur Reykjvavik -0.75 (1-0);1.86;300;-300;-300;Perdu
5/31/2018;Asianodds;Autre Tipster;Football;Simple;Vitoria 0.25;1.84;250;-250;-250;Perdu
5/31/2018;Pinnacle;Autre Tipster;Football;Simple;Atlanta United;2.59;300;-300;-300;Perdu
5/30/2018;MarathonBet;Antoine Basket Cuts;Basketball;Simple;Fenerbahce - Banvitspor Full Event Under 153.5;1.86;300;-300;-300;Perdu
5/30/2018;Asianodds;Antoine Basket Cuts;Basketball;Simple;Hapoel Unet Holon - Hapoel Fattal Eilat Full Event Over 160.5;1.952;300;585.6;285.6;Gagne
5/30/2018;Pinnacle;Awer;Football;Simple;teplice u 19 0.25;2.22;300;-300;-300;Perdu
5/30/2018;Asianodds;Bario;Football;Simple;japan 0.25;1.86;200;-200;-200;Perdu
5/30/2018;188Bet;Bario;Football;Simple;Egypt U23 0;1.83;200;-200;-200;Perdu
5/30/2018;MarathonBet;Bario;Football;Simple;Hilal +1;1.61;200;322;122;Gagne
5/30/2018;Asianodds;Blink18222;Football;Simple;japan ghana over 2.5;2.02;250;-250;-250;Perdu
5/30/2018;MarathonBet;Blink18222;Football;Simple;Selfoss W HT;8;100;-100;-100;Perdu
5/30/2018;188Bet;Garfield;Football;Simple;Chelmianka -0.75;1.77;300;-300;-300;Perdu
5/30/2018;Bet365;Ludo Picks Perso;Football;Simple;Sanna Khanh Hoa BVN -VS- Nam Dinh OVER 1.5 ht;2.8;50;140;90;Gagne
5/30/2018;Bet365;Ludo Picks Perso;Volleyball;Simple;myanmar;1.8;50;-50;-50;Perdu
5/30/2018;Bet365;Ludo Picks Perso;Basketball;Simple;guangdong u 19 w -17.5 ht;1.83;100;183;83;Gagne
5/30/2018;188Bet;Mr Betting;Football;Simple;Olimpia Asuncion - Libertad X;3.35;250;-250;-250;Perdu
5/30/2018;188Bet;Mr Betting;Football;Simple;X : Mexico U21 - England U21;2.8;250;700;450;Gagne
5/30/2018;Betway;Mr Henryk;Volleyball;Simple;Venezuela;9.75;81;-81;-81;Perdu
5/30/2018;Betway;Mr Henryk;Volleyball;Simple;Venezuela +5.5 SET 3;1.86;202;375.72;173.72;Gagne
5/30/2018;MarathonBet;Nowi;Tennis;Simple;lock under 18.5;2;131;262;131;Gagne
5/30/2018;10Bet;Nowi;Tennis;Simple;lock under 8.5 set 1;1.83;100;183;83;Gagne
5/30/2018;Pinnacle;Safin;Football;Simple;Under 2.25 : Atletico Huila;1.729;300;518.7;218.7;Gagne
5/30/2018;Pinnacle;Time Bomb;Football;Simple;Aland United (w);1.787;500;893.5;393.5;Gagne
5/30/2018;Pinnacle;Zigfrid;Football;Simple;Lillestrom 0.25;1.819;400;727.6;327.6;Gagne
5/30/2018;Bet365;Zorro;Football;Simple;japan 1.5;1.8;200;-200;-200;Perdu
5/30/2018;188Bet;Autre Tipster;Football;Simple;Angola v Mauritius over1;1.96;240;0;0;Rembourse
5/30/2018;Pinnacle;Autre Tipster;Football;Simple;austria over 1 team goals;1.645;300;0;0;Rembourse
5/30/2018;188Bet;Autre Tipster;Football;Simple;South Korea U19 v Togo U21 over 3.5;1.73;300;-300;-300;Perdu
5/30/2018;188Bet;Autre Tipster;Football;Simple;South Korea U19 - Togo U21 First Half Over 1.5;1.78;300;534;234;Gagne
5/30/2018;Asianodds;Autre Tipster;Football;Simple;rosenborg -1;1.92;300;-300;-300;Perdu
5/30/2018;Asianodds;Autre Tipster;Football;Simple;Sao Paulo SP -0.75;1.85;250;356.25;106.25;Moitie gagne
5/30/2018;Asianodds;Autre Tipster;Football;Simple;japan -0.75;1.96;250;-250;-250;Perdu
5/30/2018;188Bet;Autre Tipster;Football;Simple;Gor Mahia -1.25;1.8;180;-90;-90;Moitie perdu
5/30/2018;188Bet;Autre Tipster;Football;Simple;Sao Paulo - Botafogo RJ First Half Under 1;1.75;250;-250;-250;Perdu
5/29/2018;Pinnacle;Antoine Basket Cuts;Basketball;Simple;Seattle Storm - Washington Mystics Full Event Under 168;1.934;300;580.2;280.2;Gagne
5/29/2018;MarathonBet;AntoSeti;Tennis;Simple;filip under 16.5;1.72;240;412.8;172.8;Gagne
5/29/2018;Pinnacle;Awer;Football;Simple;PRIBRAM U21 -3;2.1;305;640.5;335.5;Gagne
5/29/2018;Asianodds;Bekantan;Football;Simple;Persebaya Surabaya;2.01;250;-250;-250;Perdu
5/29/2018;188Bet;Blink18222;Football;Simple;Over 0.5 HT : Azerbaidjan;2.04;250;510;260;Gagne
5/29/2018;Asianodds;Blink18222;Football;Simple;over 2.5 ht FK Pribram U21 v MFK Karvina U21;1.95;250;-250;-250;Perdu
5/29/2018;Asianodds;Blink18222;Football;Simple;Over 2.5 : Malmo;3;250;750;500;Gagne
5/29/2018;Asianodds;Brucinger;Football;Simple;Vitebsk;2.25;300;675;375;Gagne
5/29/2018;188Bet;Garfield;Football;Simple;Korona U19 -1.75;1.71;300;-300;-300;Perdu
5/29/2018;Asianodds;Garfield;Football;Simple;Over 3.5 : Korona U19;1.82;150;-150;-150;Perdu
5/29/2018;MarathonBet;Juako;Futsal;Simple;under 5.5: El Pozo Murcia - FC Barcelona;2.31;200;-200;-200;Perdu
5/29/2018;Bet365;Ludo Picks Perso;Football;Simple;golden state warriors;1.86;100;186;86;Gagne
5/29/2018;MarathonBet;Mr Henryk;Volleyball;Simple;indonesie;2.16;200;432;232;Gagne
5/29/2018;MarathonBet;Nowi;Tennis;Simple;nenwani;3.88;113.61;-113.61;-113.61;Perdu
5/29/2018;MarathonBet;Xargos;Basketball;Simple;Over 144.5 : Kormend;1.9;300;570;270;Gagne
5/29/2018;MarathonBet;Zorro;Football;Simple;pribram u 21 ht ft;2.6;50;-50;-50;Perdu
5/29/2018;Pinnacle;Autre Tipster;Football;Simple;peru -1.25;2.03;300;609;309;Gagne
5/29/2018;MarathonBet;Autre Tipster;Football;Simple;Under 8 : Tartu W;2;264;528;264;Gagne
5/29/2018;188Bet;Autre Tipster;Football;Simple;binh duong -0.75;1.86;300;558;258;Gagne
5/29/2018;188Bet;Autre Tipster;Football;Simple;azerbaijan -1.25;1.81;300;543;243;Gagne
5/29/2018;Asianodds;Autre Tipster;Football;Simple;Ponte Preta 0.25;1.83;210;-210;-210;Perdu
5/29/2018;Asianodds;Autre Tipster;Football;Simple;USA -1;2.16;250;540;290;Gagne
5/29/2018;188Bet;Autre Tipster;Football;Simple;Over 2.5 : Bayreuth;1.99;300;-300;-300;Perdu
5/29/2018;Pinnacle;Autre Tipster;Football;Simple;Over 2 : Iran;2;250;500;250;Gagne
5/29/2018;MarathonBet;Autre Tipster;Cricket;Simple;colin munro top batsman outright compte sabaipae et d'autres;26;45;-45;-45;Perdu
5/28/2018;MarathonBet;Antoine Basket Cuts;Basketball;Simple;Fenerbahce - Banvitspor Full Event Under 154;1.97;147;-147;-147;Perdu
5/28/2018;MarathonBet;Antoine Basket Cuts;Basketball;Simple;Fenerbahce - Banvitspor Full Event Under 153.5;1.98;153;-153;-153;Perdu
5/28/2018;Pinnacle;Antoine Basket Cuts;Basketball;Simple;BM Slam Stal Ostrow Wielkopolski - Anwil Wloclawek Full Event Under 156;1.934;300;-300;-300;Perdu
5/28/2018;Pinnacle;Basket LNB;Basketball;Simple;orleans -2;1.793;150;-150;-150;Perdu
5/28/2018;Asianodds;Birjan;Football;Simple;Sporting Kansas City -0.25;1.662;250;-125;-125;Moitie perdu
5/28/2018;Asianodds;Birjan;Football;Simple;Over 2.75 : Jorge Wilstermann;1.699;250;-250;-250;Perdu
5/28/2018;10Bet;Blink18222;Football;Simple;Son La Women v Than KSVN Women over 5.5;2.44;250;610;360;Gagne
5/28/2018;Asianodds;Brucinger;Football;Simple;Over 0.5 HT (un peu sur Bwin. Marathonbet) : Murici;2;378;756;378;Gagne
5/28/2018;Betway;Garfield;Football;Simple;flora III 2.5;1.8;268;-268;-268;Perdu
5/28/2018;Pinnacle;Hockey Betting;Hockey sur glace;Simple;Vegas Golden Knights;1.704;250;426;176;Gagne
5/28/2018;PMU;Juako;Futsal;Simple;jaen under 2.5 ht;1.8;195;351;156;Gagne
5/28/2018;Unibet;Ludo;Football;Simple;portugal u19 over 2.5 team goals;2.8;50;-50;-50;Perdu
5/28/2018;Bet365;Ludo Picks Perso;Volleyball;Simple;sayani;1.83;80;146.4;66.4;Gagne
5/28/2018;Bet365;Ludo Picks Perso;Football;Simple;texas spurs w +1 ht;1.925;100;0;0;Rembourse
5/28/2018;Pinnacle;Mr Betting;Football;Simple;Guayaquil 0;1.892;250;-250;-250;Perdu
5/28/2018;Bet365;Mr Henryk;Volleyball;Simple;thailand;2.1;200;-200;-200;Perdu
5/28/2018;188Bet;Rado;Football;Simple;Turkey U20 - Japan U21 Over 1.5;1.75;300;525;225;Gagne
5/28/2018;Asianodds;Rado;Football;Simple;iran or X;1.89;198;-198;-198;Perdu
5/28/2018;188Bet;Rado;Football;Simple;Over 2.75 : Sakaryaspor;1.86;300;429;129;Moitie gagne
5/28/2018;Pinnacle;Rusp;Football;Simple;kubanochka w -0.75;1.9;300;435;135;Moitie gagne
5/28/2018;Pinnacle;Time Bomb;Football;Simple;France -1.75;1.79;1030;1436.85;406.85;Moitie gagne
5/28/2018;188Bet;Time Bomb;Football;Simple;JBK Pietarsaari 0;1.68;500;840;340;Gagne
