Annee;Club;EffectifT;EffectifA;EffectifJ
2010;MAROMME AL;236;145;91
2011;MAROMME AL;233;146;87
2012;MAROMME AL;232;141;91
2013;MAROMME AL;237;134;93
2014;MAROMME AL;249;162;87
2015;MAROMME AL;264;164;100
2016;MAROMME AL;269;182;87
2017;MAROMME AL;240;161;79
2018;MAROMME AL;223;147;76
2019;MAROMME AL;203;137;66
2010;DEVILLE TC DEVILLOIS;175;111;64
2011;DEVILLE TC DEVILLOIS;156;99;57
2012;DEVILLE TC DEVILLOIS;184;114;70
2013;DEVILLE TC DEVILLOIS;193;116;77
2014;DEVILLE TC DEVILLOIS;168;108;60
2015;DEVILLE TC DEVILLOIS;174;115;59
2016;DEVILLE TC DEVILLOIS;169;107;62
2017;DEVILLE TC DEVILLOIS;167;111;56
2018;DEVILLE TC DEVILLOIS;145;96;49
2019;DEVILLE TC DEVILLOIS;121;80;41
2010;AS RUC;525;186;339
2011;AS RUC;490;172;318
2012;AS RUC;463;177;286
2013;AS RUC;488;190;298
2014;AS RUC;571;254;317
2015;AS RUC;602;262;340
2016;AS RUC;653;269;384
2017;AS RUC;609;237;372
2018;AS RUC;612;237;375
2019;AS RUC;411;163;248
2010;NOTRE DAME DE BONDEVILLE BTC;165;87;78
2011;NOTRE DAME DE BONDEVILLE BTC;157;81;76
2012;NOTRE DAME DE BONDEVILLE BTC;189;91;98
2013;NOTRE DAME DE BONDEVILLE BTC;183;85;98
2014;NOTRE DAME DE BONDEVILLE BTC;164;71;93
2015;NOTRE DAME DE BONDEVILLE BTC;144;71;73
2016;NOTRE DAME DE BONDEVILLE BTC;143;82;61
2017;NOTRE DAME DE BONDEVILLE BTC;133;68;65
2018;NOTRE DAME DE BONDEVILLE BTC;126;66;60
2019;NOTRE DAME DE BONDEVILLE BTC;83;59;24
